run_id,agent_id,scenario_id,bias_category,variant,run_index,temperature,prompt_version,supplier_order_seed
25b489f76e51,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,1,0.7,standard,1613528907
472bea0c9528,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,2,0.7,standard,3729749020
e5ea2bf21877,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,3,0.7,standard,1053940819
a3668918cda9,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,4,0.7,standard,580421768
229624274fe7,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,5,0.7,standard,3770452415
bd2904480bb3,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,6,0.7,standard,2122335847
5daf3ec5e827,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,7,0.7,standard,3770682776
c41e20324df8,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,8,0.7,standard,1147876577
c8ce160a9735,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,9,0.7,standard,3496777723
bdc717ec5b26,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,10,0.7,standard,407357990
8f151a1a451e,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,11,0.7,standard,1431519362
91ab80bb4c4c,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,12,0.7,standard,933833297
fe57fe4727ba,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,13,0.7,standard,1240420393
106257e6b3e5,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,14,0.7,standard,1527211846
2154a2125690,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,15,0.7,standard,1516554057
cdb263a44041,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,16,0.7,standard,2746973851
7c0c75d32f72,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,17,0.7,standard,1305483840
c2ffd38933fb,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,18,0.7,standard,52611410
fbeb93ebe7da,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,19,0.7,standard,3431126471
f93ff74af4ad,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,20,0.7,standard,2358941348
3b60928cb354,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,21,0.7,standard,1487974769
76d49341735d,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,22,0.7,standard,4085031168
8d6303ef0b9c,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,23,0.7,standard,3666923148
a93056ff76ea,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,24,0.7,standard,3733731239
79220b7fa918,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,25,0.7,standard,1878037923
91c040293ddf,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,26,0.7,standard,1007751219
73ee68550db5,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,27,0.7,standard,2754090309
bacd45f20d9d,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,28,0.7,standard,2460663513
3ae4b8db0b39,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,29,0.7,standard,951166703
162b3df173dd,mock-agent-v1,p2-01-anchor-high-BASELINE,anchoring,baseline,30,0.7,standard,1228182084
